hidden_size,embedding_size,train_loss,train_accuracy,test_loss,test_accuracy,time
32, 2, 0.513063529814, 0.850622405947, 0.553604333401, 0.753333332539, 5.21460404396
32, 4, 0.388642629202, 0.854356846176, 0.5343286256, 0.746666661104, 5.22185487747
32, 8, 0.289477402083, 0.926141077008, 0.392042013804, 0.858333332539, 5.24129104614
32, 16, 0.197513587, 0.935269708307, 0.313503455122, 0.876666671435, 5.20771679878
32, 32, 0.13298771544, 0.97551867116, 0.260198251804, 0.88833332936, 5.26219205856
32, 64, 0.0977353654771, 0.98049792452, 0.307577396234, 0.885000004768, 5.30705609322
32, 128, 0.0546471625427, 0.991701243626, 0.278878693978, 0.890000003179, 5.50849304199
32, 256, 0.0266760395028, 0.997510372653, 0.349127244552, 0.876666667461, 5.74577641487
32, 512, 0.0149553012412, 0.999170124481, 0.399528540373, 0.863333330949, 6.49190402031
64, 2, 0.45325478763, 0.842738588272, 0.536163791021, 0.748333331744, 5.31239347458
64, 4, 0.466823078933, 0.840663900563, 0.510647163391, 0.781666665872, 5.25326118469
64, 8, 0.27777398071, 0.913692945465, 0.448211170435, 0.793333335718, 5.2483086586
64, 16, 0.247351690657, 0.929875517089, 0.38490551273, 0.84166667064, 5.26052274704
64, 32, 0.139903757616, 0.965145228018, 0.384121369123, 0.848333331744, 5.31772356033
64, 64, 0.0684380262487, 0.985062239872, 0.271583645344, 0.901666660309, 5.30308942795
64, 128, 0.0323339783219, 0.995020746937, 0.284958840062, 0.894999996821, 5.49583640099
64, 256, 0.0162524447966, 0.998755186722, 0.229708255728, 0.923333326976, 5.94432740211
64, 512, 0.00721777342743, 0.999585062241, 0.341132888595, 0.904999996821, 7.62970919609
128, 2, 0.541405348016, 0.770954356748, 0.595853898525, 0.705000001589, 5.83481440544
128, 4, 0.426885832073, 0.829045642609, 0.633747569323, 0.728333334923, 5.98976140022
128, 8, 0.315771713612, 0.897510373098, 0.462560581267, 0.795000003179, 6.08660373688
128, 16, 0.161789050327, 0.957261410591, 0.270584810575, 0.896666661898, 6.16905755997
128, 32, 0.115114750639, 0.968049791789, 0.340384609501, 0.879999994437, 6.21350383759
128, 64, 0.109956673876, 0.985062240268, 0.366997080843, 0.826666668256, 6.42071123123
128, 128, 0.0583717408084, 0.984232364354, 0.314734319647, 0.89333332936, 6.86392378807
128, 256, 0.0196490353404, 0.99377593361, 0.44802487433, 0.873333333333, 8.3225373745
128, 512, 0.0153580071397, 0.997925311203, 0.560190210342, 0.843333338102, 10.3198287487
256, 2, 0.629279259057, 0.685477177879, 0.732303676605, 0.600000001589, 9.64460783005
256, 4, 0.498178058059, 0.721991701542, 0.647003307343, 0.618333328962, 9.68361954689
256, 8, 0.481475475047, 0.843983401995, 0.602628718615, 0.68833332936, 9.73355937004
256, 16, 0.257102702397, 0.917842323454, 0.512059201399, 0.79333332936, 9.80317726135
256, 32, 0.196564171732, 0.940248962656, 0.502806154092, 0.786666665872, 10.0299857616
256, 64, 0.14184409997, 0.960995849534, 0.349242726167, 0.848333331744, 10.4175671577
256, 128, 0.0441303810746, 0.988381742392, 0.323195327123, 0.874999998411, 11.4164571762
256, 256, 0.0435345096118, 0.991701244418, 0.322852803071, 0.889999994437, 13.1456097603
256, 512, 0.0307358665631, 0.99377593361, 0.511098519564, 0.866666673024, 17.2908164024
512, 2, 0.690650753559, 0.712033194625, 0.728682550589, 0.571666666667, 22.730681181
512, 4, 0.621039550557, 0.771784232217, 0.642009678682, 0.656666669051, 22.8577598572
512, 8, 0.584560041556, 0.781742738837, 0.620072792371, 0.693333335718, 23.0120444298
512, 16, 0.452679592791, 0.837759334912, 1.79196771423, 0.666666663488, 23.1664841652
512, 32, 0.309119786637, 0.909543567525, 0.545751803716, 0.746666664282, 23.5653735638
512, 64, 0.243453728975, 0.946473027957, 0.6232795163, 0.775000000795, 24.4585072041
512, 128, 0.0989919914992, 0.971369294309, 0.341457056403, 0.866666662693, 26.4149316311
512, 256, 0.062963652697, 0.982987551521, 0.421969889005, 0.844999992847, 30.3179824352
512, 512, 0.0269233945025, 0.997925311203, 0.312953578333, 0.891666666667, 40.7341864109
